Gene	symbol	log2FC	t	pvalue	padj	significant
ENSG00000122390	NAA60	0.1783295914858809	4.8478720266485045	8.859407634024604e-06	0.012271357994274742	Up
ENSG00000134533	RERG	0.162668437765491	4.854177303051865	9.02354940140173e-06	0.012271357994274742	Up
ENSG00000211772	TRBC2	-0.1856084679909027	-4.853441186819329	9.106035511521211e-06	0.012271357994274742	Down
ENSG00000178031	ADAMTSL1	-0.13522903558807342	-4.847778927643107	9.278217732771054e-06	0.012271357994274742	Down
ENSG00000188729	OSTN	-0.25832183274897247	-4.806774452815453	9.45297192140993e-06	0.012271357994274742	Down
ENSG00000183066	WBP2NL	0.09280353269953556	4.7960752248758824	9.867368818373054e-06	0.012351831324427699	Not significant
ENSG00000084090	STARD7	-0.16449391023047966	-4.795028198935306	1.0464133158237388e-05	0.012399313020178486	Down
ENSG00000170085	SIMC1	0.12518341265752575	4.773823726904383	1.0786940970925645e-05	0.012399313020178486	Up
ENSG00000259494	MRPL46	-0.10640007396069251	-4.786284038137339	1.143255945057159e-05	0.012399313020178486	Down
ENSG00000112339	HBS1L	-0.22201161295297167	-4.79593508207968	1.1623127228116306e-05	0.012399313020178486	Down
ENSG00000279786		0.14744704868619507	4.800041950721489	1.1674103556801428e-05	0.012399313020178486	Up
ENSG00000138757	G3BP2	-0.42904030556819084	-4.7381200518658275	1.2293667301539455e-05	0.012491388080685117	Down
ENSG00000123843	C4BPB	0.09965383627276059	4.734024319209218	1.24735686968325e-05	0.012491388080685117	Not significant
ENSG00000102543	CDADC1	-0.1205889952635244	-4.718025330898015	1.307510847189811e-05	0.012730070887223019	Down
ENSG00000101438	SLC32A1	-0.41647405036363505	-4.709989285144649	1.3525039108157015e-05	0.01281223299299739	Down
ENSG00000117505	DR1	-0.27000696288554105	-4.71807880846026	1.450082066591898e-05	0.012866097039430032	Down
ENSG00000165973	NELL1	-0.26384639009758315	-4.689812885910906	1.465978987154094e-05	0.012866097039430032	Down
ENSG00000204590	GNL1	-0.16226023544348722	-4.706155750767898	1.4857991016987728e-05	0.012866097039430032	Down
ENSG00000144227	NXPH2	-0.20424980848404628	-4.701139612427839	1.5056780551346845e-05	0.012866097039430032	Down
ENSG00000226757	PP12613	-0.19924056889522623	-4.6566974169773125	1.636613494680333e-05	0.012866097039430032	Down
ENSG00000145708	CRHBP	-0.24891162909795517	-4.67439890524864	1.666756170942221e-05	0.012866097039430032	Down
ENSG00000185561	TLCD2	0.12910268394551805	4.651709570358408	1.733098634596322e-05	0.012866097039430032	Up
ENSG00000121060	TRIM25	0.15618165335170575	4.6345686931854155	1.7721349873596426e-05	0.012866097039430032	Up
ENSG00000176903	PNMA1	-0.3174483365034586	-4.673705019962951	1.7770250705346505e-05	0.012866097039430032	Down
